date,category,type,income_source,amount,income_amount,expense_amount,savings_amount,planned_budget,payment_method,region,Year,Month,Month_Year,Income,Expense,Savings,Budget_Variance,Expense_Ratio_%,Savings_Ratio_%,Budget_Used_%,Income_Contribution_%,Expense_Type,Spending_Status
2021-01-01,Salary,Income,Job,53799,53799,0,0,0,UPI,West,2021,January,2021-01,53799,0,53799,0,0.0,100.0,0.0,0.19415747640536807,Non-Essential,Within Budget
2021-01-01,Freelance,Income,Freelancing,24667,24667,0,0,0,Auto Debit,West,2021,January,2021-01,24667,0,24667,0,0.0,100.0,0.0,0.0890217749491852,Non-Essential,Within Budget
2021-01-01,Rent,Expense,,21509,0,21509,0,50319,Bank Transfer,West,2021,January,2021-01,0,21509,-21509,28810,0.0,0.0,42.74528508118206,0.0,Essential,Within Budget
2021-01-01,Groceries,Expense,,13832,0,13832,0,50319,UPI,West,2021,January,2021-01,0,13832,-13832,36487,0.0,0.0,27.488622587889267,0.0,Essential,Within Budget
2021-01-01,Transport,Expense,,3427,0,3427,0,50319,Bank Transfer,West,2021,January,2021-01,0,3427,-3427,46892,0.0,0.0,6.810548699298476,0.0,Essential,Within Budget
2021-01-01,Utilities,Expense,,3236,0,3236,0,50319,UPI,West,2021,January,2021-01,0,3236,-3236,47083,0.0,0.0,6.430970408791907,0.0,Non-Essential,Within Budget
2021-01-01,Entertainment,Expense,,6513,0,6513,0,50319,Card,West,2021,January,2021-01,0,6513,-6513,43806,0.0,0.0,12.943420974184702,0.0,Non-Essential,Within Budget
2021-01-01,Medical,Expense,,967,0,967,0,50319,Auto Debit,West,2021,January,2021-01,0,967,-967,49352,0.0,0.0,1.921739303245295,0.0,Non-Essential,Within Budget
2021-01-01,Savings,Savings,,13237,0,0,13237,0,Bank Transfer,West,2021,January,2021-01,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-01-01,Investment SIP,Investment,,13364,0,13364,0,50319,Auto Debit,West,2021,January,2021-01,0,0,0,50319,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-02-01,Salary,Income,Job,67353,67353,0,0,0,Card,East,2021,February,2021-02,67353,0,67353,0,0.0,100.0,0.0,0.24307307772134715,Non-Essential,Within Budget
2021-02-01,Freelance,Income,Freelancing,7401,7401,0,0,0,Auto Debit,East,2021,February,2021-02,7401,0,7401,0,0.0,100.0,0.0,0.026709780532651706,Non-Essential,Within Budget
2021-02-01,Rent,Expense,,13940,0,13940,0,40616,Auto Debit,East,2021,February,2021-02,0,13940,-13940,26676,0.0,0.0,34.32144967500492,0.0,Essential,Within Budget
2021-02-01,Groceries,Expense,,11861,0,11861,0,40616,Card,East,2021,February,2021-02,0,11861,-11861,28755,0.0,0.0,29.20277723064802,0.0,Essential,Within Budget
2021-02-01,Transport,Expense,,3196,0,3196,0,40616,UPI,East,2021,February,2021-02,0,3196,-3196,37420,0.0,0.0,7.868820169391373,0.0,Essential,Within Budget
2021-02-01,Utilities,Expense,,4844,0,4844,0,40616,UPI,East,2021,February,2021-02,0,4844,-4844,35772,0.0,0.0,11.926334449478038,0.0,Non-Essential,Within Budget
2021-02-01,Entertainment,Expense,,5305,0,5305,0,40616,UPI,East,2021,February,2021-02,0,5305,-5305,35311,0.0,0.0,13.061355130982863,0.0,Non-Essential,Within Budget
2021-02-01,Medical,Expense,,1290,0,1290,0,40616,UPI,East,2021,February,2021-02,0,1290,-1290,39326,0.0,0.0,3.1760882410872564,0.0,Non-Essential,Within Budget
2021-02-01,Savings,Savings,,12790,0,0,12790,0,Card,East,2021,February,2021-02,0,0,0,0,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-02-01,Investment SIP,Investment,,6459,0,6459,0,40616,Card,East,2021,February,2021-02,0,0,0,40616,0.0,0.0,0.0,0.0,Non-Essential,Within Budget
2021-03-01,Salary,Income,Job,71428,71428,0,0,0,UPI,West,2021,March,2021-03,71428,0,71428,0,0.0,100.0,0.0,0.257779516806681,Non-Essential,Within Budget
2021-03-01,Freelance,Income,Freelancing,23411,23411,0,0,0,Card,West,2021,March,2021-03,23411,0,23411,0,0.0,100.0,0.0,0.08448894366300622,Non-Essential,Within Budget
