date,category,type,income_source,amount,income_amount,expense_amount,savings_amount,planned_budget,payment_method,region
01-01-21,Salary,Income,Job,53799,53799,0,0,0,UPI,West
01-01-21,Freelance,Income,Freelancing,24667,24667,0,0,0,Auto Debit,West
01-01-21,Rent,Expense,,21509,0,21509,0,50319,Bank Transfer,West
01-01-21,Groceries,Expense,,13832,0,13832,0,50319,UPI,West
01-01-21,Transport,Expense,,3427,0,3427,0,50319,Bank Transfer,West
01-01-21,Utilities,Expense,,3236,0,3236,0,50319,UPI,West
01-01-21,Entertainment,Expense,,6513,0,6513,0,50319,Card,West
01-01-21,Medical,Expense,,967,0,967,0,50319,Auto Debit,West
01-01-21,Savings,Savings,,13237,0,0,13237,0,Bank Transfer,West
01-01-21,Investment SIP,Investment,,13364,0,13364,0,50319,Auto Debit,West
01-02-21,Salary,Income,Job,67353,67353,0,0,0,Card,East
01-02-21,Freelance,Income,Freelancing,7401,7401,0,0,0,Auto Debit,East
01-02-21,Rent,Expense,,13940,0,13940,0,40616,Auto Debit,East
01-02-21,Groceries,Expense,,11861,0,11861,0,40616,Card,East
01-02-21,Transport,Expense,,3196,0,3196,0,40616,UPI,East
01-02-21,Utilities,Expense,,4844,0,4844,0,40616,UPI,East
01-02-21,Entertainment,Expense,,5305,0,5305,0,40616,UPI,East
01-02-21,Medical,Expense,,1290,0,1290,0,40616,UPI,East
01-02-21,Savings,Savings,,12790,0,0,12790,0,Card,East
01-02-21,Investment SIP,Investment,,6459,0,6459,0,40616,Card,East
01-03-21,Salary,Income,Job,71428,71428,0,0,0,UPI,West
01-03-21,Freelance,Income,Freelancing,23411,23411,0,0,0,Card,West
01-03-21,Rent,Expense,,18930,0,18930,0,38274,Bank Transfer,West
01-03-21,Groceries,Expense,,6959,0,6959,0,38274,Card,West
01-03-21,Transport,Expense,,3896,0,3896,0,38274,Bank Transfer,West
01-03-21,Utilities,Expense,,2984,0,2984,0,38274,Card,West
01-03-21,Entertainment,Expense,,4813,0,4813,0,38274,UPI,West
01-03-21,Medical,Expense,,2486,0,2486,0,38274,UPI,West
01-03-21,Savings,Savings,,12205,0,0,12205,0,Auto Debit,West
01-03-21,Investment SIP,Investment,,7367,0,7367,0,38274,Card,West
01-04-21,Salary,Income,Job,76122,76122,0,0,0,Bank Transfer,North
01-04-21,Freelance,Income,Freelancing,24734,24734,0,0,0,Card,North
01-04-21,Rent,Expense,,12440,0,12440,0,37891,Auto Debit,North
01-04-21,Groceries,Expense,,9127,0,9127,0,37891,Bank Transfer,North
01-04-21,Transport,Expense,,2713,0,2713,0,37891,Auto Debit,North
01-04-21,Utilities,Expense,,3287,0,3287,0,37891,Bank Transfer,North
01-04-21,Entertainment,Expense,,6563,0,6563,0,37891,Auto Debit,North
01-04-21,Medical,Expense,,3131,0,3131,0,37891,Bank Transfer,North
01-04-21,Savings,Savings,,15746,0,0,15746,0,Auto Debit,North
01-04-21,Investment SIP,Investment,,13007,0,13007,0,37891,Auto Debit,North
01-05-21,Salary,Income,Job,87165,87165,0,0,0,Bank Transfer,East
01-05-21,Freelance,Income,Freelancing,14751,14751,0,0,0,Bank Transfer,East
01-05-21,Rent,Expense,,12245,0,12245,0,34903,Auto Debit,East
01-05-21,Groceries,Expense,,8555,0,8555,0,34903,UPI,East
01-05-21,Transport,Expense,,3549,0,3549,0,34903,UPI,East
01-05-21,Utilities,Expense,,3960,0,3960,0,34903,UPI,East
01-05-21,Entertainment,Expense,,3621,0,3621,0,34903,Auto Debit,East
01-05-21,Medical,Expense,,4331,0,4331,0,34903,Auto Debit,East
01-05-21,Savings,Savings,,21112,0,0,21112,0,Bank Transfer,East
01-05-21,Investment SIP,Investment,,13320,0,13320,0,34903,Bank Transfer,East
01-06-21,Salary,Income,Job,65587,65587,0,0,0,UPI,East
01-06-21,Freelance,Income,Freelancing,10040,10040,0,0,0,Auto Debit,East
01-06-21,Rent,Expense,,18698,0,18698,0,50416,Bank Transfer,East
01-06-21,Groceries,Expense,,13357,0,13357,0,50416,Auto Debit,East
